时间,商品名称,库存变化,单笔销量
2026-03-17 16:25:40,台湾地址,初始销量: 0,0
2026-03-17 16:25:40,国际地址,初始库存: 10000,0
2026-03-17 16:25:40,台湾地址,0 -> -7,7
2026-03-17 16:25:40,台湾地址,-7 -> -10,3
2026-03-17 16:34:59,台湾地址,-10 -> -11,1
2026-03-17 16:45:02,台湾地址,-11 -> -12,1
2026-03-17 17:19:54,台湾地址,-12 -> -13,1
2026-03-17 17:24:58,台湾地址,-13 -> -12,-1
2026-03-17 17:49:56,台湾地址,-12 -> -13,1
2026-03-17 17:54:54,台湾地址,-13 -> -14,1
2026-03-17 21:02:22,台湾地址,-14 -> -15,1
2026-03-17 21:02:22,台湾地址,-15 -> -17,2
2026-03-17 21:54:57,台湾地址,-17 -> -19,2
2026-03-17 22:44:51,台湾地址,-19 -> -21,2
2026-03-18 01:34:55,台湾地址,-21 -> -22,1
2026-03-18 03:00:01,台湾地址,-22 -> -24,2
2026-03-18 09:39:58,台湾地址,-24 -> -25,1
2026-03-18 14:14:58,台湾地址,-25 -> -26,1
2026-03-18 15:49:33,台湾地址,初始销量: -26,26
2026-03-18 15:49:33,国际地址,初始库存: 10000,0
